P00734	['凝血酶原', '3.4.21.5', '凝血因子II']
P50416	['肉碱棕榈酰转移酶1A', 'CPTI-L', 'CPT1', '肉碱O-棕榈酰转移酶1，肝亚型', '肉碱O-棕榈酰转移酶I，肝亚型', 'CPT1-L', 'CPT I', '2.3.1.21']
P47712	['CPLA2', 'PLA2G4', '磷脂酶A2组IVA', '胞质磷脂酶A2']
P12429	['膜联蛋白-3', 'ANX3', '肌醇1,2-环磷酸2-磷酸水解酶', '35α-钙介质', '附录III', '脂皮质素III', 'PAP-III', '膜联蛋白A3', '胎盘抗凝蛋白III']
P09525	['蛋白质II', 'ANX4', '胎盘抗凝蛋白II', '35β-钙质', '碳水化合物结合蛋白p33\\/p41', 'PAP-II', '附件四', '第32页。5.', 'PP4-X', '染色结合蛋白-4', '膜联蛋白A4', '膜联蛋白-4', '内联素I', '脂皮质素IV']
P08758	['卡尔弗林丁I', '内联素II', '真空阿尔法', '膜联蛋白V', '胎盘抗凝蛋白I', '美国海关与边境保护局', 'ANX5', '凝血活酶抑制剂', '主播', '膜联蛋白A5', '血管抗凝剂α', '脂皮质素V', 'PAP-I', '膜联蛋白-5', '胎盘抗凝蛋白4', 'PP4', 'ENX2']
P19801	['刀', '1.4.3.22', '阿米洛利敏感胺氧化酶[含铜]', '道1', '阿米洛利结合蛋白1', '肾胺氧化酶', 'ABP1', '高', '组胺酶', '含胺氧化酶铜结构域的蛋白质1']
Q16515	['脑钠通道1', '酸敏感离子通道2', 'BNAC1', 'ACCN1', 'BNC1', 'MDEG', '阿米洛利敏感脑钠通道', '阿米洛利敏感阳离子通道1，神经元', '哺乳动物的degenerin同系物', '阿米洛利敏感阳离子通道神经元1', 'ASIC2', '会计科目']
P78348	['ASIC1', '阿米洛利敏感阳离子通道2，神经元', '脑钠通道2', 'BNAC2', '酸敏感离子通道1', 'ACCN2']
P19634	['溶质载体家族9成员1', '啊', '钠\\/氢交换器1', '钠（+）\\/H（+）逆向转运蛋白，阿米洛利敏感', 'NHE-1', 'APNH1', 'Na（+）\\/H（+）交换器1', 'NHE1']
P00749	['3.4.21.73', '尿激酶型纤溶酶原激活剂', '纤溶酶原激活剂']
O00519	['油酰胺水解酶1', 'FAAH1', '3.5.1.99', '脂肪酸酰胺水解酶1', '氨基水解酶1']
P27361	['ERK-1', 'ERT2', '胰岛素刺激的MAP2激酶', '微管相关蛋白2激酶', 'p44-ERK1', 'ERK1', '丝裂原活化蛋白激酶3', 'MAP激酶3', '细胞外信号调节激酶1', 'MAP激酶亚型p44', 'PRKM3', '2.7.11.24', 'p44 MAPK']
O60218	['1.1.1.-', 'ARL-1', 'AKR1B11', '竖琴', '硅还原酶', '醛酮还原酶家族1成员B10', '醛糖还原酶相关蛋白', '醛糖还原酶样', '小肠还原酶', 'ARP']
P54710	['含FXYD结构域的离子传输调节器2', '钠\\/钾转运ATP酶亚单位γ', 'Na（+）\\/K（+）atp酶亚单位γ', 'ATP1C', 'ATP1G1', '钠泵γ链']
Q6FHJ7	['弗菲', '分泌型卷曲相关蛋白4', 'sFRP-4', '卷曲蛋白，人子宫内膜']
Q9NR96	['Toll样受体9', 'CD289抗原', 'Toll样受体9前体']
Q8MU52	['谷胱甘肽S-转移酶', '2.5.1.18', 'PfGST']
P09429	['高迁移率族蛋白B1', 'HMG-1', '高迁移率族蛋白1', 'HMG1']
Q9BYF1	['金属蛋白酶MPROT15', '血管紧张素转换酶同系物', '亚齐', 'ACE相关羧肽酶', '血管紧张素转化酶2', '3.4.17.23']
P9WGR1	['FAS-II烯醇基ACP还原酶', '1.3.1.9', 'NADH依赖的2-反式烯醇基-ACP还原酶', '安然', '烯醇基-[酰基载体蛋白]还原酶[NADH]']
P9WIE5	['过氧化物酶\\/过氧化氢酶', '过氧化氢酶过氧化物酶', '人物配对关系', '1.11.1.21']
P50135	['2.1.1.8', 'HMT', '组胺N-甲基转移酶']
P0A7Z4	['DNA定向RNA聚合酶亚单位α', '2.7.7.6', '小灵通', '经济特区', 'RNAP亚单位α', 'RNA聚合酶亚单位α', '佩兹', '转录酶亚单位α']
P0A8V2	['RNAP亚单位β', 'RNA聚合酶β亚单位', '2.7.7.6', '塔布', '里夫', '转录酶亚单位β', '罗恩', 'stl', '尼特', 'DNA定向RNA聚合酶亚单位β', '格罗', 'stv']
P0A8T7	['2.7.7.6', '选项卡B', "转录酶亚单位β'", "RNA聚合酶β亚单位'", "RNAP亚单位β'", "DNA定向RNA聚合酶亚单位β'"]
P07900	['脂多糖相关蛋白2', '第二圈', 'HSP90A', 'LPS相关蛋白2', 'HSPC1', 'HSP86', '肾癌抗原NY-REN-38', '热休克蛋白86', '热冲击86 kDa', 'HSPCA', '热休克蛋白HSP 90α']
P14625	['TRA1', 'GRP94', '热休克蛋白90 kDaβ成员1', 'gp96同系物', '肿瘤排斥抗原1', 'GRP-94', '内质素', '94kDa葡萄糖调节蛋白']
P08473	['脑啡肽酶', '脑啡肽酶', '心房肽酶', '中性内肽酶', '棉结', '常见急性淋巴细胞白血病抗原', '3.4.24.11', 'EPN', '皮肤成纤维细胞弹性蛋白酶', '中性内肽酶24.11', '马蹄莲', 'SFE']
P11274	['肾癌抗原NY-REN-26', '2.7.11.1', 'D22S11', 'BCR1', '断点簇区蛋白']
O43519	['碎片', 'RET原癌基因']
P07333	['M-CSF-R', 'CSF-1R', '巨噬细胞集落刺激因子1受体', 'CSF-1受体', '原癌基因c-Fms', 'FMS', 'CSF-1-R']
Q08345	['HGK2', '上皮盘状结构域受体1', '含有上皮盘状结构域的受体1', '酪氨酸蛋白激酶', 'PTK3A', '酪氨酸激酶', 'MCK-10', 'TRK E', '棉结', '盘状肽受体酪氨酸激酶', 'RTK6', '尝试', 'EDDR1', 'CD167抗原样家族成员A', '2.7.10.1', 'NTRK4', '蛋白酪氨酸激酶RTK-6', '蛋白酪氨酸激酶3A', '细胞粘附激酶', '结块', '乳腺癌激酶10']
P14735	['胰岛素蛋白酶', '胰岛素溶酶', '3.4.24.56', '胰岛素酶', '胰岛素降解酶', '阿贝塔降解蛋白酶']
P49019	['G蛋白偶联受体109B', '烟酸受体2', 'HCA3', '羟基羧酸受体3', 'NIACR2', '烟酸受体2', 'HM74B', 'G蛋白偶联受体HM74B', 'GPR109B', 'G蛋白偶联受体HM74']
Q15274	['QPRTase', '卡普酶', '烟酸核苷酸焦磷酸化酶[羧化]', '喹啉酸磷酸核糖转移酶[脱羧]', '2.4.2.19']
P40261	['2.1.1.1', '尼克酰胺-N-甲基转移酶']
P29074	['PTPase-MEG1', '蛋白酪氨酸磷酸酶MEG1', '3.1.3.48', '酪氨酸蛋白磷酸酶非受体4型', '梅格']
Q13332	['3.1.3.48', 'R-PTP-S', '受体型酪氨酸蛋白磷酸酶', '受体型酪氨酸蛋白磷酸酶', 'R-PTP-sigma']
P23469	['蛋白质酪氨酸磷酸酶ε', '受体型酪氨酸蛋白磷酸酶ε', '3.1.3.48']
P38606	['液泡ATP酶亚型VA68', 'V型质子ATP酶催化亚基A', 'V-ATP酶69kDa亚单位', '3.6.3.14', 'ATP6A1', 'ATP6V1A1', '液泡质子泵亚单位α', 'VPP2', 'V-ATP酶A亚单位']
P03200	['文科硕士', '包膜糖蛋白GP350', '膜抗原']
P68344	['文科硕士', '包膜糖蛋白GP340', '膜抗原']
P0C002	['sul1', '二氢蕨酸焦磷酸化酶I型', '2.5.1.15', '二氢蕨酸合酶1型', '二氢蝶酸合酶Ⅰ型', 'DHPS']
P53848	['DHNA', '叶酸合成蛋白FOL1', '4.1.2.25']
Q9F0I5	['环菊糖低聚糖果糖转移酶']
P22102	['三功能嘌呤生物合成蛋白腺苷-3', 'PGFT', 'PRGS']
Q96P88	['GnRH II受体', 'Ⅱ型促性腺激素释放激素受体', '推测的促性腺激素释放激素II受体']
P15538	['细胞色素P450C11', '类固醇11β羟化酶', 'S11BH', '细胞色素P-450c11', 'CYPXIB1', '细胞色素P450 11B1，线粒体']
P10109	['ADX', '铁氧还蛋白-1', '肾上腺铁氧还蛋白', '肝氧还蛋白', '线粒体肾上腺毒素']
Q08493	['DPDE1', "cAMP特异性3'，5'-环磷酸二酯酶4C", 'PDE21', '3.1.4.53']
P41594	['GPRC1E', '代谢型谷氨酸受体5', 'MGLUR5']
O00555	['脑钙通道I', '电压依赖性P\\/Q型钙通道亚单位α-1A', '电压门控钙通道亚单位αCav2。1.', '毕', 'CACNL1A4', '碳酸钙', 'CACN3', '钙通道，L型，α-1多肽亚型4']
A9X444	['肌肉烟碱乙酰胆碱受体']
Q15125	['埃莫帕米结合蛋白', '3-β-羟基类固醇-δ（8），δ（7）-异构酶', 'D8-D7甾醇异构酶', '5.3.3.5', 'δ（8）-δ（7）甾醇异构酶', '胆甾醇δ异构酶']
P45983	['JNK-46', 'MAP激酶8', 'PRKM8', '应激激活蛋白激酶JNK1', 'SAPK1', 'c-Jun N-末端激酶1', '应激激活蛋白激酶1c', '丝裂原活化蛋白激酶8', 'JNK1', 'SAPK1C', '2.7.11.24']
P05230	['FGF-1', 'FGFA', '肝素结合生长因子1', 'ECGF', '成纤维细胞生长因子', 'HBGF-1', '内皮细胞生长因子', '酸性成纤维细胞生长因子', '成纤维细胞生长因子1']
P08620	['HST-1', '转化蛋白KS3', '肝素分泌转化蛋白1', 'HSTF1', 'KS3', 'HSTF-1', 'HST', '肝素结合生长因子4', 'HBGF-4', '成纤维细胞生长因子4', 'FGF-4']
Q03393	['4.2.3.12', '6-丙酮酰四氢生物蝶呤合酶', 'PTP合酶']
P06310	['Ig kappa链V-II区RPMI 6410']
Q9HC97	['G蛋白偶联受体35', 'KYNA受体', '犬尿酸受体']
Q9Y2I1	['咪唑啉受体抗血清选择蛋白', 'I1R', '咪唑啉-1受体候选蛋白', 'I1R候选蛋白', 'I-1受体候选蛋白', '咪唑啉受体1', '希拉斯', 'I-1', '尼沙林', 'KIAA0975', '咪唑啉-1受体', 'IR1', '伊拉斯']
P52647	['可能的丙酮酸黄氧毒素氧化还原酶', '1.2.7.-']
P17117	['氧不敏感NADPH硝基还原酶', '药物活性调节剂A', 'mdaA', 'mda18', 'YBBB', '1.-.-.-']
P0A7R5	['使用', '30S核糖体蛋白S10']
P01130	['低密度脂蛋白受体', '低密度脂蛋白受体']
Q05486	['2.7.7.7', '蛋白P']
D6R448	['青霉素结合蛋白2']
Q9NS75	['HPN321', '半胱氨酸白三烯受体2', 'hGPCR21', 'CYSLT2R', 'CYSLT2', 'CysLTR2', 'G蛋白偶联受体GPCR21', 'G蛋白偶联受体HG57']
P21462	['N-甲酰肽化学吸引受体', 'fMLP受体', 'fMet-Leu-Phe受体', 'N-甲酰肽受体', 'FPR']
Q13258	['PGD受体', '前列腺素DP受体', '前列腺素D2受体']
P05141	['腺嘌呤核苷酸转运体2', '蚂蚁2', 'ADP，ATP载体蛋白2', '溶质载体家族25成员5', 'ADP、ATP载体蛋白、成纤维细胞亚型', 'ADP\\/ATP转位酶2', '蚂蚁2']
P12236	['ADP，ATP载体蛋白3', '蚂蚁3', '溶质载体家族25成员6', 'ADP，ATP载体蛋白，T2亚型', 'ADP\\/ATP转位酶3', '蚂蚁2', '蚂蚁3', '腺嘌呤核苷酸转运体3']
Q86U10	['溶血磷脂酶转酰酶', '3.1.1.5', 'C14orf76', '60kDa溶血磷脂酶']
P26358	['CXXC型锌指蛋白9', 'DNMT', '2.1.1.37', 'DNA（胞嘧啶-5）-甲基转移酶1', 'DNA酶HsaI', '徐文杰', 'Dnmt1', 'DNA甲基转移酶HsaI', '目标', 'CXXC9', 'MCMT']
Q9Y6K1	['Dnmt3a', '2.1.1.37', 'DNA甲基转移酶HsaIIIA', 'DNA（胞嘧啶-5）-甲基转移酶3A', 'M.HsaIIIA', 'DNA酶HsaIIIA']
Q9NYK1	['Toll样受体7前体', 'Toll样受体7']
Q9NR97	['Toll样受体8', 'Toll样受体8前体', 'CD288抗原']
P00363	['延胡索酸还原酶黄素蛋白亚基', '1.3.5.4']
Q14534	['ERG1', '角鲨烯单加氧酶', '角鲨烯环氧化酶', '东南方', '1.14.14.17']
O14717	['DNA酶同系物HsaIIP', 'DNA（胞嘧啶-5）-甲基转移酶样蛋白2', 'tRNA（胞嘧啶（38）-C（5））-甲基转移酶', 'DNMT2', 'M.Hsaip', 'DNA甲基转移酶同系物HsaIIP', '2.1.1.204', 'PuMet']
P05067	['蛋白酶连接蛋白II', 'ABPP', 'PN-II', 'CVAP', 'A4', '阿尔茨海默病淀粉样蛋白', '序言4', '淀粉样βA4蛋白', '应用程序', '阿皮', '脑血管淀粉样肽', 'AD1']
P30049	['线粒体ATP合酶亚单位δ', 'F-ATP酶δ亚单位']
Q8NFJ5	['维甲酸诱导的基因1蛋白', 'GPCR5A', '维甲酸诱导蛋白3', 'G蛋白偶联受体家族C组5成员A', '佛波酯诱导基因1', 'RAIG1', 'PEIG-1', 'RAIG-1', 'RAI3']
P49788	['TIG1', '佛波酯诱导的基因1蛋白', 'PERG-1', 'RAR反应蛋白TIG1', '维甲酸受体反应蛋白1', '佩格1', '他扎罗汀诱导的基因1蛋白']
P31025	['脂钙蛋白-1', '织女星', '植物蛋白', '冯·埃布纳腺体蛋白', '催泪素', '撕裂前白蛋白', '薄层色谱', '总磷']
Q9NY56	['气味结合蛋白IIa', '气味结合蛋白2a', '奥比亚']
P02753	['血浆视黄醇结合蛋白', '视黄醇结合蛋白4', 'PRBP', 'RBP']
Q16654	['2.7.11.2', 'PDHK4', '[丙酮酸脱氢酶（乙酰转移）]激酶同工酶4，线粒体', '丙酮酸脱氢酶激酶亚型4']
O43174	['CYP26', 'P4501', '维甲酸4-羟化酶', '细胞色素P450维甲酸失活1', '细胞色素P450RAI', 'hP450RAI', '维甲酸代谢细胞色素', '1.14.-.-', '细胞色素P450 26A1']
Q9NR63	['细胞色素P450维甲酸失活2', '1.14.13.-', '细胞色素P450 26B1', '细胞色素P450 26A2', '细胞色素P450RAI-2', '维甲酸代谢细胞色素', 'CYP26A2', 'P4502']
P06149	['呼吸性D-乳酸脱氢酶', 'D-乳酸脱氢酶', '1.1.1.28']
O14521	['QPs3', '琥珀酸泛醌氧化还原酶细胞色素b小亚基', 'SDH4', '琥珀酸泛醌还原酶膜锚亚基', 'CII-4', '琥珀酸脱氢酶复合物D亚基', '赛布斯', '琥珀酸脱氢酶[泛醌]细胞色素b小亚单位，线粒体']
P02359	['30S核糖体蛋白S7']
P0A7V3	['30S核糖体蛋白S3']
P0A7W7	['30S核糖体蛋白S8']
P04156	['ALTPRP', '普里普', 'PRP', '主要朊蛋白', 'ASCR', 'PrP27-30', 'PrP33-35C']
C9EH48	['多药易位酶MdfA']
Q9H2X9	['K-Cl协同转运器2', 'hKCC2', '神经元K-Cl协同转运体', 'KCC2', '溶质载体家族12成员5', '起亚1176', '电中性氯化钾共转运蛋白2']
Q9UHW9	['KCC3', '溶质载体家族12成员6', '电中性氯化钾共转运蛋白3', 'K-Cl共转运蛋白3']
Q9Y666	['KCC4', 'K-Cl共转运蛋白4', '电中性氯化钾共转运蛋白4', '溶质载体家族12成员7']
Q9UP95	['hKCC1', '红系K-Cl共转运蛋白1', 'KCC1', '电中性氯化钾共转运蛋白1', '溶质载体家族12成员4']
P11387	['5.99.1.2', 'DNA拓扑异构酶I', 'DNA拓扑异构酶1']
Q969P6	['DNA拓扑异构酶I，线粒体', 'TOP1mt', '5.99.1.2']
Q9Y5N1	['组胺H3受体', 'H3R', 'G蛋白偶联受体97', 'GPCR97']
P23297	['S-100蛋白α链', '蛋白S100-A1', 'S100钙结合蛋白A1', 'S-100蛋白亚单位α', 'S100A']
P80511	['CAGC', 'CAAF1', '蛋白S100-A12', '细胞外新发现的RAGE结合蛋白', '羊水钙结合蛋白1', '钙粒蛋白C', '中性粒细胞S100蛋白', '迁移抑制因子相关蛋白6', '降钙素基因相关肽', '愤怒', 'MRP-6', 'p6', 'S100钙结合蛋白A12']
P04271	['S-100蛋白β亚单位', '蛋白S100-B', 'S100钙结合蛋白B', 'S-100蛋白β链']
Q99584	['蛋白S100-A13', 'S100钙结合蛋白A13']
P29034	['CAN19', 'S100L', 'S100钙结合蛋白A2', '蛋白质S-100L', '蛋白S100-A2']
P43116	['前列腺素样EP2受体', '前列腺素E受体EP2亚型', '前列腺素E2受体EP2亚型']
P0A7J6	['50S核糖体蛋白L10']
Q16853	['HPAO', 'VAP-1', '氨基脲敏感胺氧化酶', '血管粘附蛋白1', 'VAP1', '铜胺氧化酶', 'SSAO', '膜初级胺氧化酶', '1.4.3.21']
Q99527	['雌激素偶联蛋白G受体', '膜雌激素受体', 'IL8相关受体DRY12', 'G蛋白偶联雌激素受体1', 'GPR30', '淋巴细胞源性G蛋白偶联受体', 'DRY12', 'GPER', 'GPCR-Br', 'G蛋白偶联受体30', 'FEG-1', 'CMKRL2', 'LYGPR', '趋化受体样2', '梅尔', '流诱导内皮G蛋白偶联受体1', '塞普']
P00846	['F-ATP酶蛋白6', 'ATP合酶a亚单位', 'ATP6', 'ATP酶6', 'MTATP6']
Q14457	['GT197', '卷曲肌球蛋白样BCL2相互作用蛋白', '贝克林-1', '蛋白GT197']
P03956	['成纤维细胞胶原酶', '间质胶原酶', '基质金属蛋白酶-1', '基质金属蛋白酶-1', '3.4.24.7', 'CLG']
P08253	['基质金属蛋白酶-2', '3.4.24.24', '72kDa明胶酶', '72kDa IV型胶原酶', 'CLG4A', 'TBE-1', '明胶酶A', '基质金属蛋白酶-2']
P08254	['SL-1', '基质金属蛋白酶-3', '基质金属蛋白酶-3', 'Stromelysin-1', '转运蛋白-1', 'STMY1', '3.4.24.17']
P09237	['基质金属蛋白酶-7', '泵1', '基质金属蛋白酶-7', '泵-1蛋白酶', 'MPSL1', '苦参素', '子宫金属蛋白酶', '3.4.24.23', '苦参素']
P22894	['3.4.24.34', 'PMNL胶原酶', '基质金属蛋白酶-8', 'PMNL-CL', 'CLG1', 'MMP-8', '中性粒细胞胶原酶']
P09238	['3.4.24.22', 'STMY2', 'Stromelysin-2', 'Transin-2', 'SL-2', '基质金属蛋白酶-10', '基质金属蛋白酶-10']
P24347	['SL-3', 'MMP-11', '肌醇溶素-3', '基质金属蛋白酶-11', 'STMY3', '3.4.24.-']
P45452	['MMP-13', '胶原酶3', '基质金属蛋白酶-13', '3.4.24.-']
P50281	['MT-MMP-1', '膜型基质金属蛋白酶1', 'MMP-14', 'MT1-MMP', 'MTMMP1', '膜型基质金属蛋白酶', 'MMP-X1', 'MT1MMP', '3.4.24.80', '基质金属蛋白酶-14']
P51511	['SMCP-2', '膜2型基质金属蛋白酶', 'MMP-15', 'MT-MMP 2', '膜型基质金属蛋白酶2', 'MTMMP2', 'MT2MMP', '基质金属蛋白酶-15', 'MT2-MMP', '3.4.24.-']
P51512	['膜3型基质金属蛋白酶', 'MT-MMP 3', 'MT3-MMP', '膜型基质金属蛋白酶3', 'MMP-X2', '基质金属蛋白酶-16', 'MMPX2', 'MTMMP3', '基质金属蛋白酶-16', '3.4.24.-', 'MT3MMP']
Q9ULZ9	['膜4型基质金属蛋白酶', '膜型基质金属蛋白酶4', '基质金属蛋白酶-17', 'MT4-MMP', 'MTMMP4', 'MT4MMP', 'MT-MMP 4', '基质金属蛋白酶-17', '3.4.24.-']
Q99542	['MMP18', '拉西', '基质金属蛋白酶', '基质金属蛋白酶-19', '基质金属蛋白酶-18', '基质金属蛋白酶-18', '3.4.24.-', '基质金属蛋白酶-19']
O60882	['釉质金属蛋白酶', '基质金属蛋白酶-20', '珐琅质溶素', '基质金属蛋白酶-20', '3.4.24.-']
Q8N119	['MMP-21', '基质金属蛋白酶-21', '3.4.24.-']
O75900	['MMP-23', '基质金属蛋白酶-22', '基质金属蛋白酶-21', '女性分析素', 'MMP22', '基质金属蛋白酶-23', '基质金属蛋白酶-22', 'MMP-21', 'MIFR-1', 'MMP21', '3.4.24.-']
Q9Y5R2	['MT-MMP 5', 'MMP-24', 'MT5MMP', '膜型基质金属蛋白酶5', 'MTMMP5', '基质金属蛋白酶-24', 'MT5-MMP', '膜5型基质金属蛋白酶', '3.4.24.-']
Q9NPA2	['膜型-6基质金属蛋白酶', 'MT-MMP 6', 'MTMMP6', 'MT6-MMP', '基质金属蛋白酶-25', 'MMPL1', 'MMP20', '白细胞溶解素', 'MT6MMP', '膜型基质金属蛋白酶6', 'MMP-25', '3.4.24.-']
Q9NRE1	['内切酶', '基质金属蛋白酶-26', '基质金属蛋白酶-26', '苦参素-2', '3.4.24.-']
Q9H306	['MMP-27', '基质金属蛋白酶-27', '3.4.24.-']
Q9H239	['MMP-28', '基质金属蛋白酶-28', '表赖氨酸', 'MMP25', '3.4.24.-']
P03176	['2.7.1.21', '胸苷激酶']
P09252	['DNA聚合酶催化亚单位', '2.7.7.7']
Q51911	['消化链球菌白蛋白结合蛋白']
P52209	['6-磷酸葡萄糖酸脱氢酶，脱羧酶', 'PGDH', '1.1.1.44']
P24752	['2.3.1.9', '阿卡特', '乙酰辅酶A硫酶', 'T2', '乙酰辅酶A乙酰转移酶，线粒体', '小地毯']
P24557	['细胞色素P450 5A1', 'CYP5A1', 'TXA合酶', '血栓素-A合酶', '5.3.99.5', 'CYP5']
P04054	['磷脂酰胆碱2-酰水解酶1B', 'PPLA2', '3.1.1.4', 'IB组磷脂酶A2', '磷脂酶A2', 'PLA2', 'PLA2A']
P08164	['孢子生长因子B', 'outB', '依赖NH（3）的NAD（+）合成酶', '孢子形成蛋白', '一般应激蛋白38', 'GSP38', '6.3.1.5']
P21589	['NT5', "5'-NT", "5'-核苷酸酶", "胞外-5'-核苷酸酶", '3.1.3.5', '新界东']
P26676	['转录酶', '蛋白质L', '复制酶', '大结构蛋白', 'RNA定向RNA聚合酶']
P16502	['2.7.7.48', '聚合酶碱性蛋白1', 'RNA定向RNA聚合酶催化亚单位', 'PB1', 'RNA定向RNA聚合酶亚单位P1']
P12823	['NS1', '基因组多蛋白', '3.4.21.91']
Q16647	['前列环素合酶', '5.3.99.4', '前列腺素I2合酶', 'CYP8', 'CYP8A1']
P0AES6	['nalC', 'pcbA', '对位', '5.99.1.3', 'acrB', 'himB', 'DNA回旋酶B亚单位', '希苏']
P0AFI2	['拓扑异构酶IV亚单位A', '5.99.1.3', 'DNA拓扑异构酶4亚单位A']
Q9ULX7	['碳酸酐酶XIV', 'CA-XIV', '4.2.1.1', '碳酸盐脱水酶XIV', '碳酸酐酶14']
P29972	['AQP-1', '水通道蛋白-1', '红细胞和肾近端小管的水通道蛋白', '尿水通道', '芯片28', '水通道蛋白芯片']
Q9HCR9	['3.1.4.35', 'cAMP和cGMP磷酸二酯酶11A', "双3'，5'-环AMP和-GMP磷酸二酯酶11A"]
Q7Z2W7	['瞬时受体电位p8', '长瞬变受体电位通道6', '瞬时受体电位阳离子通道亚家族M成员8', 'LTrpC-6', 'TRPP8', 'Trp-p8', 'LTRPC6']
O75762	['转化敏感蛋白p120', '类锚蛋白跨膜结构域蛋白1', 'ANKTM1', '瞬时受体电位阳离子通道亚家族A成员1']
Q8NET8	['TrpV3', '瞬时受体电位阳离子通道亚家族V成员3', 'VRL-3', '香草样受体样3']
P0A749	['默兹', '2.5.1.7', 'EPT', 'UDP-N-乙酰氨基葡萄糖烯醇丙酮酸转移酶', '烯醇丙酮酸转移酶', 'UDP-N-乙酰氨基葡萄糖1-羧乙烯基转移酶']
P63316	['TN-C', '肌钙蛋白C，缓慢骨骼肌和心肌', 'TNNC']
P26447	['MTS1', '卡普尔', '卡尔瓦斯库林', 'S100钙结合蛋白A4', '转移素', '胎盘钙结合蛋白', '蛋白质Mts1', '蛋白S100-A4']
P07288	['APS', '3.4.21.77', '精液凝胶酶', 'PSA', 'γ精蛋白', '激肽释放酶-3', '塞米宁', '前列腺特异性抗原', 'P-30抗原']
P01189	['POMC', '阿片黑皮素原', '促肾上腺皮质激素']
P98066	['TNF刺激的基因6蛋白', '肿瘤坏死因子诱导基因6蛋白', 'TNF-α诱导蛋白6', '肿瘤坏死因子α诱导蛋白6', 'TSG6', 'TSG-6', '透明质酸结合蛋白']
P01584	['白细胞介素-1β', '分解代谢素', 'IL1F2', 'IL-1β']
Q00653	['DNA结合因子KBF2', 'H2TF1', '核因子NF-κB p100亚单位', '淋巴细胞易位10号染色体蛋白', 'LYT10', 'B细胞中κ轻多肽基因增强子的核因子2', '癌基因Lyt-10']
P22001	['电压门控钾通道亚单位Kv1。3.', 'HGK5', '钾电压门控通道亚家族A成员3', '电压选通K（+）通道HuKIII', 'HPCN3', 'HLK3']
P49146	['神经肽Y受体2型', 'NPY-Y2受体', 'Y2受体', 'NPY2-R']
P10696	['胎盘样碱性磷酸酶', '普拉普式', '阿尔普尔', '碱性磷酸酶Nagao同工酶', 'ALP-1', 'GCAP', '生殖细胞碱性磷酸酶', '3.1.3.1', '胎盘碱性磷酸酶样']
Q23022	['不协调蛋白38', '乙酰胆碱受体亚单位α型unc-38']
Q9N587	['左旋咪唑抗性蛋白7', '乙酰胆碱受体亚单位α型unc-63', '不协调蛋白63', 'lev-7']
Q27218	['乙酰胆碱受体亚单位β型lev-1', '左旋咪唑抗性蛋白1']
P48181	['不协调蛋白29', '乙酰胆碱受体亚单位β型unc-29']
Q14181	['DNA聚合酶α70 kDa亚单位', 'DNA聚合酶α亚单位B']
O95644	['NFATC', 'NFAT转录复合物胞浆成分', 'NF-ATc1', 'NF ATc', 'NFAT2', '活化T细胞的核因子，细胞质1']
P19838	['EBP-1', 'DNA结合因子KBF1', '核因子NF-κB p105亚单位', 'B细胞中κ轻多肽基因增强子的核因子1']
P18846	['环腺苷酸依赖性转录因子ATF-1', '蛋白质TREB36', '激活转录因子1', 'cAMP依赖转录因子ATF-1']
P60568	['白细胞介素-2', 'TCGF', 'IL-2', 'T细胞生长因子']
P13716	['δ-氨基乙酰丙酸脱水酶', '阿拉德', '疏孔素原合酶', '4.2.1.24']
Q49184	['suf3', '二氢蕨酸焦磷酸化酶I型', '2.5.1.15', '二氢蕨酸合酶1型', '二氢蝶酸合酶Ⅰ型', 'DHPS']
P68871	['β珠蛋白', '血红蛋白β亚单位', '血红蛋白β链']
P69905	['血红蛋白亚单位α', '血红蛋白α链', 'α-珠蛋白']
P02794	['1.16.3.1', 'FTHL6', '铁蛋白重链', '细胞增殖诱导基因15蛋白', 'FTH', '铁蛋白H亚单位']
P02792	['铁蛋白轻链', '铁蛋白L亚单位']
P30273	['FcεRI伽马', 'Fc受体γ链', 'FcRgamma', '高亲和力免疫球蛋白ε受体亚单位γ', 'IgE Fc受体亚单位γ', '费里伽马']
P48051	['内向整流器K（+）通道Kir3。2.', 'KCNJ7', 'GIRK-2', 'G蛋白激活内向整流钾通道2', 'KATP-2', '小鸟1', 'KATP2', 'GIRK2', '钾通道，内向整流亚家族J成员6']
P19320	['V形凸轮1', 'L1CAM', '印加-100', '血管细胞粘附蛋白1']
P48544	['G蛋白激活内向整流钾通道4', 'GIRK-4', '心脏KATP通道', '内向整流器K（+）通道Kir3。4.', '心脏内向整流器', '女孩4', 'CIR', 'IRK-4', 'KATP-1', '钾通道，内向整流亚家族J成员5']
Q8N1C3	['γ-氨基丁酸受体亚单位γ-1', 'GABA（A）受体亚单位γ-1']
Q99928	['GABA（A）受体亚单位γ-3', 'γ-氨基丁酸受体亚单位γ-3']
P78334	['GABA（A）受体亚单位ε', 'γ-氨基丁酸受体亚单位ε']
O00591	['γ-氨基丁酸受体亚单位pi', 'GABA（A）受体亚单位pi']
Q9UN88	['GABA（A）受体亚单位θ', 'γ-氨基丁酸受体亚单位θ']
O14764	['GABA（A）受体亚单位δ', 'γ-氨基丁酸受体亚单位δ']
