P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
P46439	['Glutathione S-transferase Mu 5', '2.5.1.18', 'GSTM5-5', 'GST class-mu 5']
P59796	['GPx-6', '1.11.1.9', 'Glutathione peroxidase 6']
Q16775	['GLO2', '3.1.2.6', 'Glyoxalase II', 'Hydroxyacylglutathione hydrolase, mitochondrial', 'Glx II', 'HAGH1']
Q6NSD4	['Glutathione peroxidase']
Q96SL4	['1.11.1.9', 'CL683', 'Glutathione peroxidase 7', 'GPX6', 'GPx-7']
Q99735	['Microsomal glutathione S-transferase 2', 'GST2', 'Microsomal GST-2', '2.5.1.18', 'Microsomal GST-II']
Q9H4Y5	['GSTO-2', 'Glutathione S-transferase omega-2', 'Glutathione-dependent dehydroascorbate reductase', 'MMA(V) reductase', 'Glutathione S-transferase omega 2-2', 'Monomethylarsonic acid reductase', '2.5.1.18', 'GSTO 2-2']
Q9NS18	['GRX2', 'Glutaredoxin-2, mitochondrial']
Q04760	['Methylglyoxalase', 'Lactoylglutathione lyase', 'S-D-lactoylglutathione methylglyoxal lyase', 'Glx I', 'Glyoxalase I', '4.4.1.5', 'Ketone-aldehyde mutase', 'Aldoketomutase']
Q16873	['LTC4 synthase', 'Leukotriene-C(4) synthase', '4.4.1.20', 'Leukotriene C4 synthase']
P00390	['1.8.1.7', 'GRD1', 'GLUR', 'GR', 'Glutathione reductase, mitochondrial']
P48637	['Glutathione synthetase', 'GSH synthetase', 'Glutathione synthase', '6.3.2.3']
P09488	['GST1', 'GST HB subunit 4', 'GSTM1-1', 'GST class-mu 1', 'GSTM1a-1a', 'Glutathione S-transferase Mu 1', 'GSTM1b-1b', 'GTH4', '2.5.1.18']
Q9Y2Q3	['Glutathione S-transferase kappa 1', 'GST 13-13', 'hGSTK1', 'GST class-kappa', 'Glutathione S-transferase subunit 13', '2.5.1.18', 'GSTK1-1']
Q16772	['Glutathione S-transferase A3-3', '2.5.1.18', 'GST class-alpha member 3', 'Glutathione S-transferase A3']
P21266	['GST class-mu 3', 'GSTM3-3', 'Glutathione S-transferase Mu 3', 'GST5', 'hGSTM3-3', '2.5.1.18']
O15217	['GST class-alpha member 4', 'Glutathione S-transferase A4-4', 'Glutathione S-transferase A4', '2.5.1.18']
Q03013	['GSTM4-4', 'GST-Mu2', 'GST class-mu 4', 'Glutathione S-transferase Mu 4', '2.5.1.18']
Q7RTV2	['Glutathione S-transferase A5-5', 'GST class-alpha member 5', '2.5.1.18', 'Glutathione S-transferase A5']
P09211	['GST3', 'GST class-pi', 'FAEES3', 'GSTP1-1', '2.5.1.18', 'Glutathione S-transferase P']
P78417	['Glutathione S-transferase omega-1', 'Glutathione S-transferase omega 1-1', 'S-(Phenacyl)glutathione reductase', 'SPG-R', 'Glutathione-dependent dehydroascorbate reductase', 'MMA(V) reductase', 'GSTTLP28', 'Monomethylarsonic acid reductase', 'GSTO-1', '2.5.1.18', 'GSTO 1-1']
P07203	['Cellular glutathione peroxidase', 'GPx-1', '1.11.1.9', 'Glutathione peroxidase 1']
P18283	['Glutathione peroxidase 2', 'Glutathione peroxidase-gastrointestinal', '1.11.1.9', 'Glutathione peroxidase-related protein 2', 'Gastrointestinal glutathione peroxidase', 'GPx-GI', 'GPRP-2', 'GSHPx-GI', 'GPx-2']
P30711	['Glutathione S-transferase theta-1', '2.5.1.18', 'Glutathione transferase T1-1', 'GST class-theta-1']
O43708	['GSTZ1-1', 'Glutathione S-transferase zeta 1', 'MAAI', 'Maleylacetoacetate isomerase', '5.2.1.2']
O75715	['Epididymis-specific glutathione peroxidase-like protein', '1.11.1.9', 'EGLP', 'Epididymal secretory glutathione peroxidase', 'GPx-5', 'Glutathione peroxidase 5', 'GSHPx-5']
P22352	['GSHPx-P', '1.11.1.9', 'Glutathione peroxidase 3', 'GPx-3', 'Plasma glutathione peroxidase', 'Extracellular glutathione peroxidase', 'GPXP', 'GPx-P']
P15121	['Aldose reductase', 'Aldo-keto reductase family 1 member B1', 'ALDR1', '1.1.1.21', 'AR', 'Aldehyde reductase']
P14780	['Matrix metalloproteinase-9', '92 kDa type IV collagenase', 'Gelatinase B', 'GELB', '92 kDa gelatinase', 'MMP-9', '3.4.24.35', 'CLG4B']
P08684	['Cytochrome P450-PCN1', 'Cytochrome P450 HLp', '1.14.13.-', 'CYP3A3', 'Nifedipine oxidase', 'Albendazole sulfoxidase', 'Taurochenodeoxycholate 6-alpha-hydroxylase', 'Cytochrome P450 NF-25', 'Quinine 3-monooxygenase', 'Cytochrome P450 3A4', 'Cholesterol 25-hydroxylase', 'CYPIIIA3', 'CYPIIIA4', '1,8-cineole 2-exo-monooxygenase', 'Albendazole monooxygenase', 'Cytochrome P450 3A3']
P49619	['DAG kinase gamma', 'Diacylglycerol kinase gamma', '2.7.1.107', 'DAGK3', 'Diglyceride kinase gamma', 'DGK-gamma']
Q16760	['130 kDa diacylglycerol kinase', '2.7.1.107', 'DGK-delta', 'DAG kinase delta', 'Diglyceride kinase delta', 'KIAA0145', 'Diacylglycerol kinase delta']
Q9BVG9	['2.7.8.29', 'PSS-2', 'Phosphatidylserine synthase 2', 'Serine-exchange enzyme II', 'PSS2']
Q9NXE4	['nSMase3', 'Neutral sphingomyelinase III', 'Sphingomyelin phosphodiesterase 4', '3.1.4.12', 'nSMase-3', 'KIAA1418', 'Neutral sphingomyelinase 3']
Q9NY59	['Neutral sphingomyelinase 2', 'nSMase-2', '3.1.4.12', 'nSMase2', 'Sphingomyelin phosphodiesterase 3', 'Neutral sphingomyelinase II']
Q9Y2Q0	['P4-ATPase flippase complex alpha subunit ATP8A1', 'Phospholipid-transporting ATPase IA', '3.6.3.1', 'ATPIA', 'Chromaffin granule ATPase II', 'ATPase class I type 8A member 1']
P17252	['PKCA', '2.7.11.13', 'Protein kinase C alpha type', 'PRKACA', 'PKC-A']
P48651	['Serine-exchange enzyme I', 'KIAA0024', 'Phosphatidylserine synthase 1', 'PSSA', 'PSS-1', '2.7.8.29']
Q9UG56	['Phosphatidylserine decarboxylase proenzyme', '4.1.1.65']
Q8WTV0	['SR-BI', 'CD36L1', 'Scavenger receptor class B member 1', 'Collagen type I receptor, thrombospondin receptor-like 1', 'CLA1', 'CD36 and LIMPII analogous 1', 'SRB1', 'CD36 antigen-like 1', 'CLA-1']
P41250	['AP-4-A synthetase', 'GlyRS', 'Glycine--tRNA ligase', '6.1.1.14', 'Glycyl-tRNA synthetase', 'Diadenosine tetraphosphate synthetase']
Q14032	['Bile acid-CoA:amino acid N-acyltransferase', 'BACAT', 'Glycine N-choloyltransferase', '2.3.1.65', 'Long-chain fatty-acyl-CoA hydrolase']
Q14330	['N-arachidonyl glycine receptor', 'NAGly receptor', 'GPCRW', 'G-protein coupled receptor 18']
Q6IB77	['Glycine N-acyltransferase', 'Acyl-CoA:glycine N-acyltransferase', 'Benzoyl-coenzyme A:glycine N-acyltransferase', 'Glycine N-benzoyltransferase', '2.3.1.13', 'GAT', 'HRP-1(CLP)', 'Aralkyl acyl-CoA:amino acid N-acyltransferase', 'Aralkyl acyl-CoA N-acyltransferase', 'CAT', 'ACGNAT', 'AAc']
Q8WU03	['2.3.1.13', 'Acyl-CoA:glycine N-acyltransferase-like protein 2', 'Glycine N-acyltransferase-like protein 2']
Q969I3	['Acyl-CoA:glycine N-acyltransferase-like protein 1', 'Glycine N-acyltransferase-like protein 1', 'Glutamine N-acyltransferase', '2.3.1.68', 'GNAT']
Q9P0Z9	['L-pipecolate oxidase', 'Peroxisomal sarcosine oxidase', '1.5.3.1', 'PSO', 'L-pipecolic acid oxidase', 'LPIPOX']
O60391	['Glutamate receptor ionotropic, NMDA 3B', 'NMDAR3B', 'N-methyl-D-aspartate receptor subtype 3B', 'NR3B', 'GluN3B']
P23415	['Glycine receptor subunit alpha-1', 'Glycine receptor strychnine-binding subunit', 'Glycine receptor 48 kDa subunit']
P48167	['Glycine receptor 58 kDa subunit', 'Glycine receptor subunit beta']
O75311	['Glycine receptor subunit alpha-3', 'Glycine receptor subunit alpha-3 precursor']
P23416	['Glycine receptor subunit alpha-2', 'Glycine receptor subunit alpha-2 precursor']
O00764	['PNK', 'C21orf97', '2.7.1.35', 'C21orf124', 'Pyridoxine kinase', 'PKH', 'Pyridoxal kinase']
P06732	['Creatine kinase M chain', 'M-CK', 'CKMM', '2.7.3.2', 'Creatine kinase M-type']
P12532	['CKMT', 'Acidic-type mitochondrial creatine kinase', 'U-MtCK', 'Ubiquitous mitochondrial creatine kinase', 'Creatine kinase U-type, mitochondrial', '2.7.3.2', 'Mia-CK']
P12277	['B-CK', 'Creatine kinase B chain', 'Creatine kinase B-type', 'CKBB', '2.7.3.2']
P17540	['Sarcomeric mitochondrial creatine kinase', 'Basic-type mitochondrial creatine kinase', 'Creatine kinase S-type, mitochondrial', 'S-MtCK', 'Mib-CK', '2.7.3.2']
P48029	['Solute carrier family 6 member 8', 'Sodium- and chloride-dependent creatine transporter 1', 'CT1']
Q14353	['Guanidinoacetate N-methyltransferase', '2.1.1.2']
Q15031	['KIAA0028', 'Leucyl-tRNA synthetase', 'Probable leucine--tRNA ligase, mitochondrial', 'LeuRS', '6.1.1.4']
O60294	['KIAA0547', 'tRNA yW-synthesizing protein 4', 'tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase', 'tRNA wybutosine-synthesizing protein 4', 'TYW4', '2.1.1.290', 'Leucine carboxyl methyltransferase 2', 'tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase']
Q9UIC8	['LCMT', '2.1.1.233', '[Phosphatase 2A protein]-leucine-carboxy methyltransferase 1', 'Protein-leucine O-methyltransferase', 'Leucine carboxyl methyltransferase 1']
Q9P2J5	['Leucyl-tRNA synthetase', 'LeuRS', 'KIAA1352', 'Leucine--tRNA ligase, cytoplasmic', '6.1.1.4']
Q9UGM6	['TrpRS', '(Mt)TrpRS', 'Tryptophan--tRNA ligase, mitochondrial', '6.1.1.2', 'Tryptophanyl-tRNA synthetase']
P00953	['Tryptophanyl-tRNA synthetase', 'Tryptophan--tRNA ligase', '6.1.1.2', 'TrpRS']
P23381	['Tryptophan--tRNA ligase, cytoplasmic', 'Interferon-induced protein 53', 'IFI53', 'Tryptophanyl-tRNA synthetase', 'IFP53', 'hWRS', 'WRS', '6.1.1.2', 'TrpRS']
P49589	['Cysteinyl-tRNA synthetase', 'Cysteine--tRNA ligase, cytoplasmic', 'CysRS', '6.1.1.16']
P16455	['6-O-methylguanine-DNA methyltransferase', '2.1.1.63', 'Methylated-DNA--protein-cysteine methyltransferase', 'MGMT', 'O-6-methylguanine-DNA-alkyltransferase']
Q9HA77	['Cysteinyl-tRNA synthetase', '6.1.1.16', 'CysRS', 'Probable cysteine--tRNA ligase, mitochondrial']
Q16878	['CDO-I', '1.13.11.20', 'CDO', 'Cysteine dioxygenase type I', 'Cysteine dioxygenase type 1']
Q9H3S4	['PP20', 'Placental protein 20', 'Thiamin pyrophosphokinase 1', 'hTPK1', '2.7.6.2', 'Thiamine pyrophosphokinase 1']
Q06432	['CACNLG', 'Dihydropyridine-sensitive L-type, skeletal muscle calcium channel subunit gamma', 'Voltage-dependent calcium channel gamma-1 subunit']
P23219	['PGHS-1', 'Prostaglandin H2 synthase 1', 'Prostaglandin G/H synthase 1', 'Prostaglandin-endoperoxide synthase 1', 'PHS 1', '1.14.99.1', 'PGH synthase 1', 'COX-1', 'COX1', 'Cyclooxygenase-1']
P35354	['COX2', 'PGH synthase 2', 'PHS II', 'Prostaglandin G/H synthase 2', 'PGHS-2', 'Prostaglandin H2 synthase 2', 'COX-2', 'Prostaglandin-endoperoxide synthase 2', 'Cyclooxygenase-2', '1.14.99.1']
O95865	['Dimethylargininase-2', '3.5.3.18', 'DDAHII', 'S-phase protein', 'DDAH', 'NG30', 'N(G),N(G)-dimethylarginine dimethylaminohydrolase 2', 'Protein G6a', 'DDAH-2', 'G6A']
O94760	['3.5.3.18', 'DDAH', 'DDAH-1', 'Dimethylargininase-1', 'DDAHI', 'N(G),N(G)-dimethylarginine dimethylaminohydrolase 1']
P29475	['Nitric oxide synthase, brain', 'Neuronal NOS', 'N-NOS', 'Constitutive NOS', 'bNOS', '1.14.13.39', 'nNOS', 'NOS type I', 'Peptidyl-cysteine S-nitrosylase NOS1', 'NC-NOS']
Q6TGC4	['Protein-arginine deiminase type-6', 'Peptidyl arginine deiminase-like protein', 'hPADVI', '3.5.3.15', 'Peptidylarginine deiminase VI', 'Protein-arginine deiminase type VI', 'PAD6']
Q9ULC6	['PAD1', 'PDI1', 'Peptidylarginine deiminase I', '3.5.3.15', 'Protein-arginine deiminase type-1', 'Protein-arginine deiminase type I']
Q9ULW8	['Protein-arginine deiminase type-3', '3.5.3.15', 'Protein-arginine deiminase type III', 'Peptidylarginine deiminase III', 'PAD3', 'PDI3']
Q9Y2J8	['Protein-arginine deiminase type-2', 'Peptidylarginine deiminase II', 'Protein-arginine deiminase type II', '3.5.3.15', 'PAD2', 'PAD-H19', 'KIAA0994', 'PDI2']
Q9UM07	['Protein-arginine deiminase type IV', 'PADI5', '3.5.3.15', 'PDI5', 'Peptidylarginine deiminase IV', 'HL-60 PAD', 'Protein-arginine deiminase type-4', 'PAD4']
P26639	['Threonyl-tRNA synthetase', '6.1.1.3', 'ThrRS', 'Threonine--tRNA ligase, cytoplasmic']
Q9BW92	['TARSL1', 'Threonine--tRNA ligase, mitochondrial', '6.1.1.3', 'ThrRS', 'Threonyl-tRNA synthetase', 'Threonyl-tRNA synthetase-like 1']
O60701	['UDP-glucose 6-dehydrogenase', '1.1.1.22', 'UDP-Glc dehydrogenase']
P07327	['ADH1', '1.1.1.1', 'Alcohol dehydrogenase 1A', 'Alcohol dehydrogenase subunit alpha']
Q00796	['1.1.1.14', 'Sorbitol dehydrogenase', 'L-iditol 2-dehydrogenase']
P08319	['1.1.1.1', 'Alcohol dehydrogenase class II pi chain', 'Alcohol dehydrogenase 4']
P00326	['Alcohol dehydrogenase 1C', 'ADH3', '1.1.1.1', 'Alcohol dehydrogenase subunit gamma']
P00325	['Alcohol dehydrogenase 1B', '1.1.1.1', 'ADH2', 'Alcohol dehydrogenase subunit beta']
P40394	['Gastric alcohol dehydrogenase', 'Retinol dehydrogenase', 'Alcohol dehydrogenase class IV mu/sigma chain', 'Alcohol dehydrogenase class 4 mu/sigma chain', '1.1.1.1']
P21695	['Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic', 'GPD-C', '1.1.1.8']
Q6ZMR3	['L-lactate dehydrogenase A-like 6A', 'LDHL2', '1.1.1.27']
P11766	['Alcohol dehydrogenase class-3', 'Alcohol dehydrogenase 5', 'FALDH', 'Alcohol dehydrogenase class-III', 'Alcohol dehydrogenase class chi chain', 'FDH', 'Glutathione-dependent formaldehyde dehydrogenase', 'S-(hydroxymethyl)glutathione dehydrogenase', 'ADHX', 'GSH-FDH', '1.1.1.1']
Q99714	['17-beta-HSD 10', 'SCHAD', '3-hydroxyacyl-CoA dehydrogenase type II', 'Mitochondrial ribonuclease P protein 2', 'Mitochondrial RNase P protein 2', '3-hydroxy-2-methylbutyryl-CoA dehydrogenase', 'HADH2', '1.1.1.35', 'Short-chain type dehydrogenase/reductase XH98G2', '17-beta-hydroxysteroid dehydrogenase 10', 'Endoplasmic reticulum-associated amyloid beta-peptide-binding protein', 'XH98G2', '3-hydroxyacyl-CoA dehydrogenase type-2', 'MRPP2', 'ERAB', 'SDR5C1', 'Short chain dehydrogenase/reductase family 5C member 1', 'Type II HADH']
P40926	['Malate dehydrogenase, mitochondrial', '1.1.1.37']
P00338	['LDH-A', '1.1.1.27', 'L-lactate dehydrogenase A chain', 'Renal carcinoma antigen NY-REN-59', 'LDH muscle subunit', 'LDH-M', 'Cell proliferation-inducing gene 19 protein']
P23368	['Malic enzyme 2', '1.1.1.38', 'NAD-ME', 'NAD-dependent malic enzyme, mitochondrial']
P51659	['17-beta-HSD 4', 'EDH17B4', 'DBP', 'Short chain dehydrogenase/reductase family 8C member 1', 'SDR8C1', '17-beta-hydroxysteroid dehydrogenase 4', 'Peroxisomal multifunctional enzyme type 2', 'Multifunctional protein 2', 'MFE-2', 'MPF-2', 'D-bifunctional protein']
Q9BYZ2	['LDHL', 'L-lactate dehydrogenase A-like 6B', 'LDHAL6', '1.1.1.27']
P07864	['CT32', 'L-lactate dehydrogenase C chain', 'LDH3', 'LDHX', '1.1.1.27', 'LDH testis subunit', 'Cancer/testis antigen 32', 'LDH-X', 'LDH-C']
P07195	['Renal carcinoma antigen NY-REN-46', '1.1.1.27', 'LDH heart subunit', 'LDH-H', 'L-lactate dehydrogenase B chain', 'LDH-B']
Q08426	['PBE', 'Peroxisomal bifunctional enzyme', 'ECHD']
Q16836	['SCHAD', 'HAD', 'Short-chain 3-hydroxyacyl-CoA dehydrogenase', 'Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial', '1.1.1.35', 'HADHSC', 'Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase', 'HCDH']
Q16798	['NADP-dependent malic enzyme, mitochondrial', 'Malic enzyme 3', '1.1.1.40', 'NADP-ME']
Q02338	['3-hydroxybutyrate dehydrogenase', 'Short chain dehydrogenase/reductase family 9C member 1', '1.1.1.30', 'SDR9C1', 'D-beta-hydroxybutyrate dehydrogenase, mitochondrial', 'BDH']
P40925	['MDHA', 'Diiodophenylpyruvate reductase', 'Cytosolic malate dehydrogenase', 'Malate dehydrogenase, cytoplasmic', '1.1.1.37']
P31937	['3-hydroxyisobutyrate dehydrogenase, mitochondrial', 'HIBADH', '1.1.1.31']
P37058	['17-beta-HSD 3', 'Testosterone 17-beta-dehydrogenase 3', 'Short chain dehydrogenase/reductase family 12C member 2', 'Testicular 17-beta-hydroxysteroid dehydrogenase', '1.1.1.64', '17-beta-hydroxysteroid dehydrogenase type 3', 'EDH17B3', 'SDR12C2']
P04035	['3-hydroxy-3-methylglutaryl-coenzyme A reductase', 'HMG-CoA reductase', '1.1.1.34']
P48163	['Malic enzyme 1', '1.1.1.40', 'NADP-dependent malic enzyme', 'NADP-ME']
O43175	['PGDH3', 'D-3-phosphoglycerate dehydrogenase', '3-PGDH', '1.1.1.95']
P56937	['17-beta-HSD 7', '17-beta-hydroxysteroid dehydrogenase 7', 'Short chain dehydrogenase/reductase family 37C member 1', '1.1.1.270', '3-keto-steroid reductase', 'Estradiol 17-beta-dehydrogenase 7', 'SDR37C1']
P51553	['Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial', 'Isocitric dehydrogenase subunit gamma', '1.1.1.41', 'NAD(+)-specific ICDH subunit gamma']
O43837	['NAD(+)-specific ICDH subunit beta', 'Isocitric dehydrogenase subunit beta', 'Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial', '1.1.1.41']
P50213	['NAD(+)-specific ICDH subunit alpha', 'Isocitric dehydrogenase subunit alpha', '1.1.1.41', 'Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial']
P14061	['20 alpha-hydroxysteroid dehydrogenase', '17-beta-HSD 1', 'Placental 17-beta-hydroxysteroid dehydrogenase', '20-alpha-HSD', 'EDHB17', '1.1.1.62', '17-beta-hydroxysteroid dehydrogenase type 1', 'Short chain dehydrogenase/reductase family 28C member 1', 'E17KSR', 'Estradiol 17-beta-dehydrogenase 1', 'E2DH', 'SDR28C1', 'EDH17B1', 'EDH17B2']
P37059	['20 alpha-hydroxysteroid dehydrogenase', 'Testosterone 17-beta-dehydrogenase', '20-alpha-HSD', 'Estradiol 17-beta-dehydrogenase 2', 'SDR9C2', '1.1.1.62', 'Microsomal 17-beta-hydroxysteroid dehydrogenase', 'E2DH', 'Short chain dehydrogenase/reductase family 9C member 2', '17-beta-HSD 2', 'EDH17B2', '17-beta-hydroxysteroid dehydrogenase type 2']
Q92781	['1.1.1.315', 'Retinol dehydrogenase 5', 'SDR9C5', 'Short chain dehydrogenase/reductase family 9C member 5', '11-cis RDH', '9cRDH', 'RDH1', 'HSD17B9', '9-cis retinol dehydrogenase', '11-cis retinol dehydrogenase']
O95479	['GDH', 'GDH/6PGL endoplasmic bifunctional protein']
Q92506	['3-oxoacyl-[acyl-carrier-protein] reductase', 'Testosterone 17-beta-dehydrogenase 8', 'RING2', 'Ke-6', 'Estradiol 17-beta-dehydrogenase 8', 'Short chain dehydrogenase/reductase family 30C member 1', '1.1.1.62', '17-beta-hydroxysteroid dehydrogenase 8', '17-beta-HSD 8', 'HKE6', 'Really interesting new gene 2 protein', 'SDR30C1', 'FABGL', 'Protein Ke6']
P17516	['1.1.1.-', '3-alpha-hydroxysteroid dehydrogenase type I', 'Dihydrodiol dehydrogenase 4', 'Chlordecone reductase', '3-alpha-HSD1', 'DD-4', 'HAKRA', 'CHDR', 'CDR', 'DD4', 'Aldo-keto reductase family 1 member C4']
P12268	['1.1.1.205', 'IMPDH-II', 'IMP dehydrogenase 2', "Inosine-5'-monophosphate dehydrogenase 2", 'IMPD2']
P42330	['3-alpha-HSD type II, brain', '3-alpha-HSD type 2', 'DDH1', 'Testosterone 17-beta-dehydrogenase 5', 'HSD17B5', 'Aldo-keto reductase family 1 member C3', 'DD-3', 'Prostaglandin F synthase', '17-beta-HSD 5', 'Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase', 'HA1753', '1.-.-.-', 'PGFS', 'Indanol dehydrogenase', 'DD3', '17-beta-hydroxysteroid dehydrogenase type 5', 'KIAA0119', 'Chlordecone reductase homolog HAKRb', '3-alpha-hydroxysteroid dehydrogenase type 2', 'Dihydrodiol dehydrogenase 3', 'Dihydrodiol dehydrogenase type I']
P15428	['15-PGDH', 'Prostaglandin dehydrogenase 1', '1.1.1.141', 'PGDH1', '15-hydroxyprostaglandin dehydrogenase [NAD(+)]', 'Short chain dehydrogenase/reductase family 36C member 1', 'SDR36C1']
Q13630	['SDR4E1', '1.1.1.271', 'Red cell NADP(H)-binding protein', 'Short-chain dehydrogenase/reductase family 4E member 1', 'GDP-L-fucose synthase', 'Protein FX', 'GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase']
Q04828	['1.1.1.-', 'High-affinity hepatic bile acid-binding protein', 'Indanol dehydrogenase', '20-alpha-HSD', 'Aldo-keto reductase family 1 member C1', 'DDH1', 'Dihydrodiol dehydrogenase 1/2', 'HBAB', '20-alpha-hydroxysteroid dehydrogenase', 'DDH', 'Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase', 'Chlordecone reductase homolog HAKRC', 'DD1/DD2']
P28845	['HSD11L', 'Corticosteroid 11-beta-dehydrogenase isozyme 1', '1.1.1.146', 'Short chain dehydrogenase/reductase family 26C member 1', '11-DH', '11-beta-hydroxysteroid dehydrogenase 1', '11-beta-HSD1', 'SDR26C1', 'HSD11']
P26439	['3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II', '3-beta-HSD adrenal and gonadal type', 'HSDB3B', '3-beta-HSD II', '3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2']
P14060	['HSDB3A', '3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1', '3BH', 'Trophoblast antigen FDO161G', '3-beta-HSD I', '3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I']
P20839	['IMPDH-I', '1.1.1.205', 'IMP dehydrogenase 1', "Inosine-5'-monophosphate dehydrogenase 1", 'IMPD1']
P40939	['TP-alpha', 'HADH', 'Trifunctional enzyme subunit alpha, mitochondrial', '78 kDa gastrin-binding protein']
P05091	['Aldehyde dehydrogenase, mitochondrial', 'ALDH class 2', 'ALDH-E2', '1.2.1.3', 'ALDHI', 'ALDM']
P80365	['1.1.1.-', 'Short chain dehydrogenase/reductase family 9C member 3', '11-DH2', 'Corticosteroid 11-beta-dehydrogenase isozyme 2', '11-beta-HSD2', 'SDR9C3', 'HSD11K', '11-beta-hydroxysteroid dehydrogenase type II', 'NAD-dependent 11-beta-hydroxysteroid dehydrogenase', '11-HSD type II', '11-beta-HSD', '11-beta-hydroxysteroid dehydrogenase type 2', '11-beta-HSD type II']
P52895	['DD2', 'DD-2', 'Type III 3-alpha-hydroxysteroid dehydrogenase', 'Dihydrodiol dehydrogenase 2', '3-alpha-HSD3', 'DD/BABP', 'Dihydrodiol dehydrogenase/bile acid-binding protein', 'Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase', 'Aldo-keto reductase family 1 member C2', 'Chlordecone reductase homolog HAKRD', 'DDH2', '1.-.-.-']
Q15738	['1.1.1.170', 'Protein H105e3', 'H105E3', 'Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating']
P48448	['Aldehyde dehydrogenase family 3 member B2', '1.2.1.5', 'Aldehyde dehydrogenase 8', 'ALDH8']
Q02252	['Aldehyde dehydrogenase family 6 member A1', 'Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial', '1.2.1.18', 'MMSDH']
P30838	['Aldehyde dehydrogenase family 3 member A1', 'Aldehyde dehydrogenase 3', 'Aldehyde dehydrogenase, dimeric NADP-preferring', 'ALDH3', 'ALDHIII', '1.2.1.5']
P00352	['ALDC', 'ALDH-E1', 'ALDH1', 'PUMB1', '1.2.1.36', 'Aldehyde dehydrogenase family 1 member A1', 'RALDH 1', 'ALHDII', 'Aldehyde dehydrogenase, cytosolic', 'Retinal dehydrogenase 1']
O14556	['Spermatogenic glyceraldehyde-3-phosphate dehydrogenase', 'GAPDH2', '1.2.1.12', 'Glyceraldehyde-3-phosphate dehydrogenase, testis-specific', 'Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2', 'GAPDS', 'GAPD2', 'GAPDH-2']
P49189	['ALDH7', 'TMABADH', 'ALDH9', 'Gamma-aminobutyraldehyde dehydrogenase', 'Aldehyde dehydrogenase E3 isozyme', 'ALDH4', 'R-aminobutyraldehyde dehydrogenase', 'Aldehyde dehydrogenase family 9 member A1', '1.2.1.47', '4-trimethylaminobutyraldehyde dehydrogenase']
P47895	['ALDH6', 'Aldehyde dehydrogenase family 1 member A3', 'Retinaldehyde dehydrogenase 3', '1.2.1.5', 'RalDH3', 'Aldehyde dehydrogenase 6', 'RALDH-3']
P30837	['Aldehyde dehydrogenase 5', 'ALDH5', 'Aldehyde dehydrogenase X, mitochondrial', '1.2.1.3', 'ALDHX', 'Aldehyde dehydrogenase family 1 member B1']
P43353	['Aldehyde dehydrogenase family 3 member B1', 'ALDH7', '1.2.1.5', 'Aldehyde dehydrogenase 7']
P04406	['Peptidyl-cysteine S-nitrosylase GAPDH', '1.2.1.12', 'Glyceraldehyde-3-phosphate dehydrogenase', 'GAPDH', 'GAPD']
O94788	['Retinaldehyde-specific dehydrogenase type 2', '1.2.1.36', 'RALDH2', 'RALDH 2', 'Aldehyde dehydrogenase family 1 member A2', 'RALDH(II)', 'Retinal dehydrogenase 2']
P51648	['Aldehyde dehydrogenase family 3 member A2', 'FALDH', 'Fatty aldehyde dehydrogenase', 'Aldehyde dehydrogenase 10', 'ALDH10', '1.2.1.3', 'Microsomal aldehyde dehydrogenase']
P49419	['Aldehyde dehydrogenase family 7 member A1', '1.2.1.31', 'P6c dehydrogenase', 'Antiquitin-1', 'Betaine aldehyde dehydrogenase', 'ATQ1', 'Alpha-aminoadipic semialdehyde dehydrogenase', 'Alpha-AASA dehydrogenase', 'Delta1-piperideine-6-carboxylate dehydrogenase']
Q96C36	['1.5.1.2', 'Pyrroline-5-carboxylate reductase 2', 'P5C reductase 2']
P32322	['P5C reductase 1', '1.5.1.2', 'Pyrroline-5-carboxylate reductase 1, mitochondrial']
P29803	['1.2.4.1', 'Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial', 'PDHAL', 'PDHE1-A type II']
