C0000886	['棘细胞', '棘红细胞', '刺激细胞']
C1167201	[]
C1167202	['次级胞间连丝']
C1167203	['T细胞受体复合物', 'TCR复合体', 'TCR']
C1167204	[]
C1167205	[]
C1167206	[]
C1167207	['细胞基膜']
C1167208	['基底外侧质膜']
C1167209	[]
C1167210	[]
C1167211	['网格蛋白涂层坑', '涂层坑']
C1167212	[]
C1167213	[]
C1167214	['连环蛋白复合物']
C1167216	[]
C1167217	[]
C1167220	[]
C1167221	['内向整流钾通道']
C1167222	[]
C1167223	[]
C1167224	[]
C1167225	[]
C1167226	[]
C1167227	['整合素复合物']
C1167228	[]
C1167229	[]
C1167230	[]
C1167231	[]
C1167232	[]
C1167233	[]
C1167234	[]
C1167235	[]
C1167236	[]
C1167237	[]
C1167238	[]
C1167239	[]
C1167240	[]
C1167241	[]
C1167243	[]
C1167244	[]
C1167245	[]
C1167246	[]
C1167247	[]
C1167248	[]
C1167249	['外侧质膜']
C1167250	['脂筏', '脂筏', '膜筏']
C1167253	[]
C1167254	[]
C1167255	[]
C1167256	[]
C1167258	[]
C1167260	[]
C1167261	[]
C1167262	[]
C1167263	[]
C1167265	[]
C1167266	['横纹肌节']
C1167267	['SMC']
C1167268	['弄皱']
C1167269	[]
C1167271	[]
C1167273	[]
C1167274	['LH1复合体']
C1167275	[]
C1167276	[]
C1167277	[]
C1167279	[]
C1167281	[]
C1167282	[]
C1167284	[]
C1167285	[]
C1167286	[]
C1167287	[]
C1167288	[]
C1167289	['丙酮酸脱氢酶复合物']
C1167290	['呼吸链复合体I']
C1167292	['呼吸链复合体II']
C1167293	[]
C1167294	['复合体']
C1167295	['综合体三', '细胞色素bc1复合物', '呼吸链复合体III']
C1167297	['细胞色素c氧化酶复合体', '呼吸链复合物IV']
C1167298	['蛋白质RNA复合物', '核糖核蛋白复合物', 'RNA蛋白复合物', 'RNP']
C1167299	[]
C1167300	[]
C1167302	[]
C1167303	[]
C1167304	['天线复合体']
C1167305	[]
C1167306	['光合电子传递链']
C1167307	['细胞色素b6f复合物']
C1167308	[]
C1167309	['光系统I反应中心']
C1167310	['放氧复合体']
C1167311	[]
C1167312	['光系统II反应中心']
C1167313	['泛素连接酶复合物']
C1167314	[]
C1167315	['内膜系统']
C1167316	[]
C1167317	['泡膜']
C1167320	['外周膜蛋白']
C1167322	['膜的组成部分']
C1167323	[]
C1167325	[]
C1167326	[]
C1167327	[]
C1167328	[]
C1167329	[]
C1167330	[]
C1167331	['膜外', '外膜']
C1167332	['中体']
C1167334	['交配投影', '什莫']
C1167335	[]
C1167339	['肽聚糖']
C1167340	[]
C1167341	[]
C1167342	[]
C1167343	[]
C1167345	['菌丝细胞壁']
C1167347	[]
C1167348	[]
C1167349	['原代细胞壁']
C1167350	['纤维素微纤维']
C1167351	['次生细胞壁']
C1167352	['S层']
C1167353	['粘液层']
C1167358	[]
C1167359	[]
C1167363	[]
C1167364	[]
C1167365	[]
C1167366	[]
C1167367	[]
C1167368	[]
C1167369	[]
C1167370	[]
C1167371	[]
C1167372	[]
C1167373	[]
C1167374	[]
C1167375	[]
C1167376	[]
C1167377	[]
C1167378	[]
C1167379	[]
C1167380	[]
C1167381	[]
C1167382	[]
C1167383	['膜攻击复合物', 'TCC', '末端补体复合体']
C1167384	['突触后膜', '突触后膜']
C1167385	[]
C1167386	['C1q']
C1167389	[]
C1167390	[]
C1167391	[]
C1167392	[]
C1167393	['中板']
C1167394	['纤维蛋白原']
C1167396	['宿主细胞核']
C1167397	['宿主细胞质膜']
C1167398	['病毒包膜', '病毒包膜', '病毒包膜', '病毒包膜', '病毒包膜']
C1167399	['宿主细胞细胞质']
C1167400	[]
C1167401	[]
C1167402	['细胞间桥']
C1167404	['间质基质']
C1167405	[]
C1167406	['整合前综合体']
C1167407	[]
C1167408	[]
C1167410	[]
C1167411	[]
C1167412	[]
C1167413	[]
C1167414	[]
C1167415	[]
C1167416	[]
C1167417	['ACCase复合物']
C1167418	[]
C1167419	[]
C1167421	[]
C1167423	[]
C1167424	[]
C1167425	[]
C1167426	[]
C1167427	[]
C1167428	['CAMK2']
C1167429	['PKA']
C1167430	[]
C1167431	[]
C1167432	[]
C1167433	['半胱氨酸合酶复合物']
C1167434	[]
C1167435	[]
C1167436	['2-酮戊二酸脱氢酶复合物']
C1167439	[]
C1167440	[]
C1167441	[]
C1167442	[]
C1167443	[]
C1167445	[]
C1167446	[]
C1167447	[]
C1167448	[]
C1167449	[]
C1167452	[]
C1167453	[]
C1167454	[]
C1167455	[]
C1167456	[]
C1167457	[]
C1167460	[]
C1167461	[]
C1167462	[]
C1167463	[]
C1167464	[]
C1167465	[]
C1167466	['氢化酶复合物']
C1167467	[]
C1167468	[]
C1167469	[]
C1167470	[]
C1167471	[]
C1167473	[]
C1167475	[]
C1167476	[]
C1167477	[]
C1167478	[]
C1167479	[]
C1167480	[]
C1167481	[]
C1167482	[]
C1167483	[]
C1167484	[]
C1167485	[]
C1167486	[]
C1167487	[]
C1167489	[]
C1167490	[]
C1167491	[]
C1167492	[]
C1167493	[]
C1167494	[]
C1167495	[]
C1167496	[]
C1167497	[]
C1167498	['PP2A复合物']
C1167499	[]
C1167502	[]
C1167503	[]
C1167504	[]
C1167505	[]
C1167506	['RISC复合体', 'RNA诱导沉默复合物']
C1167507	[]
C1167508	[]
C1167509	[]
C1167510	[]
C1167511	[]
C1167512	[]
C1167513	[]
C1167514	[]
C1167515	[]
C1167516	[]
C1167517	[]
C1167518	['果心', '核衣壳', '病毒核衣壳']
C1167519	['病毒衣壳']
C1167520	['帽状体', '帽状体']
C1167521	[]
C1167522	[]
C1167524	[]
C1167525	['病毒支架']
C1167538	[]
C1167539	['病毒表皮']
C1171322	['成体干细胞', '成体干细胞', '成体干细胞']
C1171346	['hESC', 'HESC', '人胚胎干细胞', '人胚胎干细胞', '人类胚胎干细胞']
C1171348	['免疫突触', '免疫突触']
C1176286	['后期促进复合体', '后期促进复合体', '空气污染指数', '环体']
C1178808	[]
C1178965	[]
C1178966	[]
C1178968	[]
C1178969	['细胞部分', '细胞部分']
C1178971	[]
C1178972	[]
C1178973	[]
C1178974	[]
C1178975	[]
C1178977	[]
C1178979	[]
C1178980	[]
C1178981	[]
C1178982	['轴突侧支']
C1178984	[]
C1178985	[]
C1178988	[]
C1179009	[]
C1179017	[]
C1179046	[]
C1179047	[]
C1179048	[]
C1179049	[]
C1179050	[]
C1179051	[]
C1179052	[]
C1179053	[]
C1179054	[]
C1179055	[]
C1179056	[]
C1179057	[]
C1179058	[]
C1179059	[]
C1179060	[]
C1179061	[]
C1179062	[]
C1179063	[]
C1179064	[]
C1179065	[]
C1179066	[]
C1179067	[]
C1179068	[]
C1179069	[]
C1179070	[]
C1179072	[]
C1179073	[]
C1179074	[]
C1179075	[]
C1179076	[]
C1179085	['适应素']
C1179086	[]
C1179087	[]
C1179088	[]
C1179089	[]
C1179090	[]
C1179091	[]
C1179092	[]
C1179093	['辐射辐条']
C1179094	[]
C1179095	[]
C1179096	[]
C1179097	[]
C1179098	[]
C1179099	[]
C1179100	[]
C1179101	[]
C1179102	[]
C1179103	[]
C1179104	[]
C1179105	[]
C1179107	[]
C1179108	[]
C1179109	[]
C1179110	[]
C1179111	[]
C1179112	[]
C1179113	[]
C1179114	[]
C1179115	[]
C1179116	[]
C1179117	[]
C1179118	[]
C1179119	[]
C1179120	['粗纤维']
C1179121	[]
C1179122	['T管', 'T管', '横小管', '三人一组']
C1179123	[]
C1179124	[]
C1179125	[]
C1179126	['脂质空泡', '脂质空泡']
C1179127	[]
C1179128	[]
C1179129	[]
C1179130	[]
C1179135	[]
C1179136	[]
C1179138	[]
C1179140	[]
C1179141	[]
C1179142	[]
C1179143	[]
C1179144	[]
C1179145	[]
C1179146	[]
C1179160	[]
C1179186	[]
C1179188	[]
C1179416	[]
C1179434	[]
C1179437	[]
C1179445	[]
C1179458	[]
C1179459	[]
C1179460	[]
C1179461	[]
C1179462	[]
C1179463	[]
C1179466	[]
C1179470	[]
C1179471	[]
C1179475	[]
C1179476	[]
C1179485	[]
C1179486	[]
C1179487	[]
C1179488	[]
C1179489	[]
C1179490	['或施-兰切迹']
C1179491	[]
C1179498	[]
C1179503	['牙骨质细胞']
C1179510	[]
C1179513	[]
C1179514	[]
C1179515	[]
C1179516	[]
C1179517	['胰腺腺泡细胞', '胰腺腺泡细胞', '胰腺腺泡细胞', '胰腺腺泡细胞']
C1179549	[]
C1179554	[]
C1179580	[]
C1179606	[]
C1179610	[]
C1179672	[]
C1179683	[]
C1179760	[]
C1179787	[]
C1179829	[]
C1179830	[]
C1179839	[]
C1179840	[]
C1179842	[]
C1179843	[]
C1179844	[]
C1179845	[]
C1179846	[]
C1179870	['P细胞']
C1179871	[]
C1179873	[]
C1179875	['高尔基网络']
C1179876	[]
C1179878	['CGN']
C1179880	[]
C1179881	[]
C1179883	[]
C1179884	['电突触', '电突触', '电突触', '电突触']
C1179887	[]
C1179889	['线粒体膜间隙']
C1179890	[]
C1179892	[]
C1179893	[]
C1179895	[]
C1179897	[]
C1179899	[]
C1179901	[]
C1179904	['过氧化物酶体膜', '过氧化物酶体膜']
C1179907	['内体膜']
C1179908	[]
C1179909	[]
C1179911	[]
C1179912	[]
C1179913	[]
C1179914	[]
C1179915	[]
C1179916	[]
C1179917	[]
C1179918	[]
C1179919	[]
C1179921	[]
C1179922	[]
C1179923	[]
C1179924	[]
C1179925	[]
C1179926	[]
C1179927	[]
C1179929	[]
C1179930	[]
C1179931	[]
C1179932	[]
C1179933	['游离核糖体']
C1179935	[]
C1179936	['睫状膜']
C1179937	[]
C1179938	[]
C1179943	[]
C1179944	[]
C1179945	[]
C1179947	[]
C1179948	[]
C1179949	['轴膜', '轴突膜']
C1179950	[]
C1179951	[]
C1179952	[]
C1179953	[]
C1179954	[]
C1179955	[]
C1179956	['层粘连纤维', '核层粘连蛋白', '核层粘连蛋白', 'V型中间丝']
C1179957	[]
C1179962	['细胞器', '细胞器']
C1179964	[]
C1179966	[]
C1179967	[]
C1179968	[]
C1179972	['基诺西林']
C1179974	[]
C1179975	[]
C1179977	[]
C1179980	[]
C1179981	[]
C1179984	[]
C1179985	[]
C1179986	[]
C1179987	[]
C1179988	[]
C1179989	['轴突起始段', '轴突始段', '起始段']
C1179990	[]
C1179991	[]
C1179992	[]
C1180005	[]
C1180006	[]
C1180007	[]
C1180008	[]
C1180009	[]
C1180010	[]
C1180011	[]
C1180012	[]
C1180013	[]
C1180014	[]
C1180015	[]
C1180016	['粗面内质网池']
C1180017	[]
C1180018	[]
C1180019	[]
C1180020	[]
C1180021	['微管正末端生长', '微管正末端', '微管正末端']
C1180022	['微管负端', '微管负端']
C1180024	[]
C1180026	[]
C1180027	[]
C1180029	[]
C1180030	[]
C1180031	[]
C1180034	[]
C1180035	[]
C1180036	[]
C1180037	[]
C1180038	['睫状体尖', '纤毛尖']
C1180041	[]
C1180042	[]
C1180043	[]
C1180045	['睫状体基底', '动粒']
C1180046	[]
C1180047	['睫状轴丝']
C1180050	[]
C1180051	[]
C1180054	[]
C1180057	[]
C1180059	['有核细胞', '有核细胞', '有核细胞']
C1180060	[]
C1180062	[]
C1180063	['鞭毛轴丝']
C1180066	[]
C1180067	[]
C1180071	[]
C1180072	[]
C1180074	[]
C1180076	[]
C1180077	['胞浆核糖体']
C1180087	[]
C1180088	[]
C1180089	[]
C1180090	[]
C1180093	[]
C1180094	[]
C1180096	[]
C1180097	[]
C1180100	[]
C1180102	[]
C1180104	[]
C1180105	[]
C1180106	[]
C1180107	[]
C1180109	[]
C1180144	[]
C1180170	[]
C1180171	[]
C1180172	[]
C1180174	[]
C1180176	[]
C1180237	[]
C1180238	['毛细血管内皮细胞']
C1180239	[]
C1180240	[]
C1180241	[]
C1180242	[]
C1180243	[]
C1180254	[]
C1180259	[]
C1180260	[]
C1180261	[]
C1180269	[]
C1180270	[]
C1180271	[]
C1180272	[]
C1180273	[]
C1180291	['鞭毛膜']
C1180292	[]
C1180295	[]
C1180296	[]
C1180297	[]
C1180298	['轴丝微管']
C1180299	[]
C1180300	[]
C1180301	[]
C1180302	[]
C1180303	[]
C1180304	[]
C1180305	[]
C1180306	[]
C1180308	[]
C1180313	[]
C1180314	[]
C1180315	[]
C1180318	[]
C1180319	[]
C1180320	[]
C1180321	[]
C1180322	[]
C1180323	[]
C1180324	[]
C1180325	[]
C1180326	[]
C1180327	[]
C1180328	[]
C1180329	[]
C1180330	[]
C1180331	[]
C1180332	[]
C1180336	[]
C1180337	[]
C1180338	[]
C1180342	[]
C1180344	[]
C1180346	[]
C1180348	[]
C1180349	[]
C1180350	[]
C1180351	[]
C1180355	[]
C1180356	[]
C1180357	[]
C1180358	[]
C1180360	[]
C1180361	[]
C1180368	[]
C1180369	[]
C1180378	[]
C1180379	[]
C1180380	[]
C1180381	[]
C1180382	[]
C1180383	[]
C1180392	['刷状细胞', '刷状细胞', '细胞刷']
C1180795	[]
C1180924	[]
C1180925	['角化细胞', '角细胞', '角质细胞']
C1181052	['甲状腺细胞', '甲状腺细胞', '甲状腺滤泡细胞']
C1181163	[]
C1181164	[]
C1181285	[]
C1181286	[]
C1181293	[]
C1181294	[]
C1181295	[]
C1181297	[]
C1181298	[]
C1181299	[]
C1181300	[]
C1181301	[]
C1181474	[]
C1181530	[]
C1181531	[]
C1181535	[]
C1181540	[]
C1181541	[]
C1181542	[]
C1181723	[]
C1181725	[]
C1181740	[]
C1181966	[]
C1181967	[]
C1182459	[]
C1182604	['表皮干细胞']
C1182605	[]
C1182606	[]
C1182608	[]
C1182609	[]
C1182610	[]
C1182611	[]
C1182612	[]
C1182613	[]
C1182614	[]
C1182615	[]
C1182616	[]
C1182617	[]
C1182618	[]
C1182619	[]
C1182620	[]
C1182621	[]
C1182622	[]
C1182623	[]
C1182624	[]
C1182625	[]
C1182626	[]
C1182627	[]
C1182628	[]
C1182629	[]
C1182634	[]
C1182635	[]
C1182636	[]
C1182637	[]
C1182642	[]
C1182645	[]
C1182646	[]
C1182647	[]
C1182650	[]
C1182651	[]
C1182654	['角膜内皮细胞']
C1182655	[]
C1182658	[]
C1182659	['透明细胞']
C1182665	[]
C1182666	[]
C1182667	[]
C1182668	[]
C1182675	[]
C1182676	[]
C1182677	[]
C1182678	[]
C1182691	[]
C1182692	[]
C1182693	[]
C1182708	[]
C1182709	[]
C1182710	[]
C1182776	['晶状体细胞']
C1182778	[]
C1182779	[]
C1182783	[]
C1182784	[]
C1182785	[]
C1182787	[]
C1182788	[]
C1182789	['肾小球足细胞']
C1182790	[]
C1182791	['肾小球内皮细胞']
C1182792	[]
C1182796	[]
C1182797	[]
C1182798	[]
C1182799	[]
C1182803	[]
C1182804	[]
C1183167	[]
C1183176	[]
C1183180	[]
C1183184	[]
C1183200	[]
C1183202	[]
C1183209	[]
C1183210	[]
C1183324	[]
C1183326	[]
C1183327	[]
C1183328	[]
C1183329	[]
C1183330	[]
C1183331	[]
C1183332	[]
C1183333	[]
C1183334	[]
C1183336	[]
C1183337	[]
C1183338	[]
C1183357	[]
C1183358	[]
C1183359	[]
C1183360	['哈索尔小体']
C1183361	[]
C1183362	[]
C1183406	[]
C1183408	[]
C1183423	[]
C1183424	[]
C1183425	[]
C1183426	[]
C1183428	['无细胞', '自由细胞']
C1183436	[]
C1183437	[]
C1183488	[]
C1183489	['细胞质区']
C1183490	[]
C1183491	[]
C1183492	[]
C1183493	[]
C1183494	[]
C1183495	[]
C1183496	[]
C1183497	[]
C1183498	[]
C1183499	[]
C1183500	[]
C1183503	[]
C1183504	[]
C1183505	[]
C1183506	[]
C1183507	[]
C1183508	[]
C1183509	[]
C1183510	[]
C1183511	[]
C1183512	[]
C1183513	[]
C1183712	[]
C1183733	[]
C1183897	[]
C1183898	[]
C1183899	[]
C1183900	[]
C1183931	[]
C1183932	[]
C1183980	[]
C1183981	[]
C1183982	[]
C1184053	[]
C1184107	[]
C1184137	[]
C1184138	[]
C1184139	[]
C1184140	[]
C1184141	[]
C1184142	[]
C1184143	[]
C1184144	[]
C1184310	[]
C1184798	[]
C1184809	[]
C1184810	[]
C1184870	[]
C1184871	[]
C1184872	[]
C1184873	[]
C1184876	[]
C1184877	[]
C1184878	[]
C1184879	[]
C1184880	[]
C1184881	[]
C1184882	[]
C1184883	[]
C1184884	[]
C1184885	[]
C1184931	[]
C1186710	[]
C1186712	[]
C1186713	[]
C1186721	[]
C1186722	[]
C1186723	[]
C1186728	[]
C1186733	[]
C1186734	[]
C1186735	[]
C1253961	[]
C1254546	[]
C1254547	[]
C1254548	[]
C1254549	[]
C1254550	[]
C1254552	[]
C1254573	[]
C1254876	[]
C1254945	[]
C1254948	[]
C1254949	[]
C1257739	['NIH\\/3T3']
C1257740	[]
C1257741	[]
C1257742	[]
C1257743	['3T3-L1细胞', '3T3-L1细胞', '3T3-L1']
C1257751	['红系细胞', '红系细胞', '红系细胞', '红系细胞']
C1257771	['BFU-E']
C1257772	['CFU-E']
C1257774	[]
C1257788	[]
C1257792	['血管内皮细胞', '血管内皮细胞']
C1257793	['淋巴管内皮细胞', '淋巴管内皮细胞']
C1257857	[]
C1257858	[]
C1257909	['二倍体细胞', '二倍体细胞', '体细胞', '体细胞', '体细胞', '体细胞', '体细胞', '体细胞', '体细胞的']
C1257910	[]
C1257912	[]
C1257913	[]
C1257924	['纤维小体', '纤维小体']
C1257975	['间充质细胞', '间充质细胞', '间充质祖细胞', '间充质干细胞', '间充质干细胞', '间充质干细胞', '间充质干细胞', '间充质干细胞', '间充质干细胞', 'MPC']
C1258005	['HCT116细胞']
C1258076	[]
C1258077	[]
C1261273	['核型', '核型']
C1261568	[]
C1263424	['土地', '土地']
C1265905	['燕麦细胞']
C1265916	[]
C1265917	[]
C1266872	['肾小管上皮细胞', '肾小管上皮细胞']
C1266873	[]
C1266875	[]
C1267581	[]
C1267673	[]
C1267703	[]
C1267795	[]
C1267797	[]
C1267798	[]
C1267799	[]
C1267800	[]
C1267801	[]
C1267802	[]
C1267803	[]
C1267804	[]
C1267805	[]
C1267806	[]
C1267807	[]
C1267808	[]
C1267809	[]
C1267810	[]
C1267811	[]
C1267812	[]
C1267813	[]
C1267814	[]
C1267815	[]
C1267816	[]
C1267817	[]
C1267818	[]
C1267819	[]
C1267820	[]
C1267821	[]
C1267822	['CD4+CD25+调节性T细胞', '恩特雷格斯', '调节性T细胞', 'T区', 'T调节细胞', 'Tr电池']
C1267823	[]
C1267824	[]
C1267825	[]
C1267827	[]
C1267828	[]
C1267829	[]
C1267830	[]
C1267831	[]
C1267832	[]
C1267833	[]
C1267834	[]
C1267835	[]
C1267836	[]
C1267837	['CD19+B淋巴细胞']
C1267838	[]
C1267839	[]
C1267840	[]
C1267841	[]
C1267842	[]
C1267843	[]
C1267844	[]
C1267845	[]
C1267846	[]
C1267847	[]
C1267848	[]
C1267849	[]
C1267850	[]
C1267851	[]
C1267852	[]
C1267853	[]
C1267854	[]
C1267855	[]
C1267856	[]
C1267857	[]
C1267858	[]
C1267859	[]
C1267860	[]
C1267861	[]
C1267862	[]
C1267863	[]
C1267864	[]
C1267865	[]
C1267866	[]
C1267867	[]
C1267868	[]
C1267869	[]
C1267870	[]
C1267871	[]
C1267872	[]
C1267873	[]
C1267874	[]
C1267875	[]
C1267876	[]
C1267878	[]
C1267879	[]
C1267880	[]
C1267881	[]
C1267882	[]
C1267883	[]
C1267884	[]
C1267885	[]
C1267886	[]
C1267887	[]
C1267888	[]
C1267889	[]
C1267890	['CD20+淋巴细胞']
C1267891	[]
C1267892	[]
C1267893	[]
C1267894	[]
C1267895	[]
C1267896	[]
C1267897	[]
C1267898	[]
C1267899	[]
C1267900	[]
C1267901	[]
C1267902	[]
C1267903	[]
C1267904	[]
C1267905	[]
C1267906	[]
C1267907	[]
C1267908	[]
C1267909	[]
C1267910	[]
C1267911	[]
C1267912	[]
C1267913	[]
C1267914	[]
C1267915	[]
C1267916	[]
C1267917	[]
C1267918	[]
C1267919	[]
C1267920	[]
C1267921	[]
C1267922	[]
C1267923	[]
C1267924	[]
C1267925	[]
C1267926	[]
C1267927	[]
C1267928	['CD45+淋巴细胞']
C1267929	[]
C1267930	[]
C1267931	[]
C1267932	[]
C1267933	[]
C1267934	[]
C1267935	[]
C1267936	[]
C1267937	[]
C1267938	[]
C1267939	[]
C1267940	[]
C1267941	[]
C1267942	[]
C1267943	[]
C1267944	[]
C1267945	[]
C1267946	[]
C1267947	[]
C1267948	[]
C1267949	[]
C1267950	[]
C1267951	[]
C1267952	[]
C1267953	[]
C1267954	[]
C1267955	[]
C1267956	[]
C1267957	[]
C1267958	[]
C1267959	[]
C1267960	[]
C1267961	[]
C1267962	[]
C1267963	[]
C1267964	[]
C1267965	[]
C1267966	[]
C1267967	[]
C1267968	[]
C1267969	[]
C1267970	[]
C1267971	[]
C1267972	[]
C1267973	[]
C1267974	[]
C1267975	[]
C1267976	[]
C1267977	[]
C1267978	[]
C1267979	[]
C1267980	[]
C1267981	[]
C1267982	[]
C1267983	[]
C1267984	[]
C1267985	[]
C1267986	[]
C1267987	[]
C1267988	[]
C1267989	[]
C1267990	[]
C1267991	[]
C1267992	[]
C1267993	[]
C1267994	[]
C1267995	[]
C1267996	[]
C1267997	[]
C1267998	[]
C1267999	[]
C1268000	[]
C1268001	[]
C1268002	[]
C1268003	[]
C1268005	[]
C1268006	[]
C1268007	[]
C1268008	[]
C1268009	[]
C1268010	[]
C1268011	[]
C1268228	[]
C1268443	['细胞正常', '细胞正常', '正常细胞', '正常细胞']
C1268444	[]
C1268445	[]
C1268446	[]
C1268447	[]
C1268448	['角蛋白丝']
C1268449	[]
C1268450	[]
C1268451	[]
C1268452	[]
C1268453	[]
C1268455	[]
C1268456	[]
C1268457	[]
C1268458	[]
C1268459	[]
C1268461	[]
C1269647	[]
C1272578	['皮肤成纤维细胞', '皮肤成纤维细胞']
C1275629	['角细胞', '角膜细胞', '角膜细胞', '角膜细胞']
C1276265	['咬细胞', '咬合细胞']
C1276850	[]
C1276851	[]
C1276852	[]
C1276853	[]
C1276860	[]
C1276861	[]
C1276862	[]
C1276865	[]
C1276871	[]
C1276873	[]
C1276875	[]
C1276876	[]
C1276877	[]
C1276977	[]
C1277042	[]
C1277044	[]
C1277046	[]
C1277065	[]
C1277066	[]
C1277067	[]
C1278781	[]
C1280425	[]
C1280426	[]
C1280428	[]
C1280517	[]
C1280543	[]
C1282866	[]
C1284557	[]
C1284809	[]
C1292097	[]
C1292098	[]
C1292099	[]
C1292100	[]
C1292101	[]
C1301169	[]
C1301171	[]
C1301179	[]
C1306700	[]
C1317119	[]
C1317185	[]
C1317186	[]
C1317187	[]
C1317188	[]
C1317190	[]
C1317191	[]
C1317193	[]
C1317194	[]
C1317197	[]
C1317198	[]
C1317200	[]
C1317328	[]
C1317332	[]
C1317333	[]
C1317395	[]
C1317495	[]
C1317511	[]
C1317543	[]
C1317558	[]
C1317561	[]
C1317625	[]
C1317634	[]
C1317735	[]
C1317736	[]
C1318418	['刷边', '刷边']
C1321301	['PBMC', '外周血单核细胞', '外周血单个核细胞', '外周血单个核细胞', '外周血单个核细胞']
C1325275	[]
C1325279	[]
C1325335	[]
C1325523	['细胞投射', '细胞投射']
C1325525	['光感受器外段']
C1325526	[]
C1325527	[]
C1325529	['巨大轴突']
C1325530	[]
C1325531	['胶囊']
C1325534	[]
C1325535	[]
C1325536	['延伸蛋白', '糖蛋白网络']
C1325537	[]
C1325538	[]
C1325539	['里海地带']
C1325540	[]
C1325541	[]
C1325544	['前孔隙']
C1325546	['皮质细胞骨架']
C1325547	['皮质肌动蛋白细胞骨架']
C1325548	[]
C1325549	['绿色体']
C1325550	['染色质']
C1325551	['细胞质染色质']
C1325552	[]
C1325553	[]
C1325554	[]
C1325555	[]
C1325556	['XY小体']
C1325557	['核染色质', '核染色质']
C1325558	[]
C1325559	[]
C1325560	[]
C1325561	[]
C1325562	[]
C1325563	['动粒']
C1325565	[]
C1325566	['内动粒']
C1325567	['外着丝点']
C1325568	[]
C1325569	[]
C1325571	[]
C1325573	[]
C1325575	[]
C1325576	['浓缩染色体']
C1325577	['减数分裂粘着蛋白复合体']
C1325578	[]
C1325579	[]
C1325580	[]
C1325581	['CCC']
C1325583	['中心元素']
C1325584	['轴向元件', '侧向元素']
C1325585	['横丝']
C1325586	['康德星复合体']
C1325587	[]
C1325588	['金丝复合体']
C1325589	[]
C1325591	[]
C1325592	['答复']
C1325593	['W染色体']
C1325594	['Z染色体']
C1325595	['BDC']
C1325596	['P体', '处理小体', '加工机构']
C1325597	[]
C1325599	[]
C1325600	[]
C1325601	[]
C1325602	[]
C1325603	['嗜蓝颗粒', '初级颗粒']
C1325604	['血小板致密颗粒']
C1325605	['特定颗粒']
C1325607	['肌动球蛋白复合体', '肌动球蛋白结构', '肌动球蛋白']
C1325608	[]
C1325609	[]
C1325618	[]
C1325619	[]
C1325620	['蛋白酶体复合物', '蛋白酶体']
C1325621	[]
C1325622	[]
C1325623	['蛋白酶体调节颗粒']
C1325624	[]
C1325625	[]
C1325628	[]
C1325629	[]
C1325630	[]
C1325631	[]
C1325632	[]
C1325633	[]
C1325635	['肽负载复合物', '可编程逻辑控制器']
C1325636	['TAP复合体']
C1325637	[]
C1325638	['呃身体']
C1325639	['甘氨酸裂解系统']
C1325640	[]
C1325641	['糖原颗粒', '糖原颗粒']
C1325642	[]
C1325643	[]
C1325644	[]
C1325645	[]
C1325646	[]
C1325647	[]
C1325648	[]
C1325649	[]
C1325650	[]
C1325651	['线粒体类核']
C1325652	[]
C1325653	['线粒体电子传递链', '线粒体呼吸链', '线粒体呼吸超复合体', '呼吸的', '呼吸链']
C1325654	[]
C1325655	[]
C1325656	[]
C1325657	[]
C1325658	[]
C1325659	['山姆情结']
C1325660	[]
C1325661	['肋节']
C1325662	[]
C1325663	[]
C1325664	['叶绿体类核']
C1325665	[]
C1325666	[]
C1325667	[]
C1325668	[]
C1325669	[]
C1325670	[]
C1325671	[]
C1325672	[]
C1325673	[]
C1325674	['淀粉粒', '淀粉颗粒']
C1325675	['前核糖体']
C1325676	[]
C1325677	[]
C1325678	[]
C1325679	[]
C1325680	[]
C1325681	[]
C1325682	[]
C1325683	['蛋白体']
C1325684	[]
C1325689	[]
C1325690	[]
C1325691	['啤酒花复合体']
C1325692	['中央液泡']
C1325693	['蛋黄颗粒']
C1325694	['染色体外DNA']
C1325695	[]
C1325696	['阿波贝克']
C1325697	[]
C1325698	[]
C1325699	['事实情结']
C1325700	[]
C1325702	['生发泡']
C1325703	[]
C1325704	[]
C1325705	[]
C1325706	['极核']
C1325708	[]
C1325709	[]
C1325710	['MRN复合体']
C1325711	[]
C1325712	[]
C1325713	[]
C1325714	[]
C1325715	['罗盘复合体']
C1325716	[]
C1325717	[]
C1325718	[]
C1325719	[]
C1325720	['组蛋白甲基转移酶复合物']
C1325721	['PRC2复合体']
C1325722	[]
C1325723	['MBF']
C1325724	['多梳抑制复合物1', 'PRC1复合体']
C1325725	['类病毒颗粒', '类病毒颗粒', 'VLP']
C1325726	['特雷克斯复合体']
C1325727	['THO复合体']
C1325728	[]
C1325729	[]
C1325730	[]
C1325733	['多亚单位RNA聚合酶', 'RNA聚合酶复合物']
C1325734	['反转录复合体']
C1325735	[]
C1325736	[]
C1325737	[]
C1325738	[]
C1325739	['NADPH氧化酶复合物']
C1325740	[]
C1325741	[]
C1325742	['孔隙复合体', '毛孔', '毛孔']
C1325744	['囊']
C1325745	[]
C1325746	[]
C1325747	[]
C1325748	['突触前膜', '突触前质膜']
C1325749	[]
C1325750	['隔室']
C1325751	[]
C1325752	[]
C1325753	[]
C1325754	[]
C1325756	['质外体']
C1325757	[]
C1325758	[]
C1325759	[]
C1325760	[]
C1325761	['乳糜微粒']
C1325762	[]
C1325763	[]
